INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.kernel.DefaultKernel.removeApplication(DefaultKernel.java:455)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.deployer.DefaultDeployer.undeploy(DefaultDeployer.java:244)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.deployer.DefaultDeployer.dispose(DefaultDeployer.java:154)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:67)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.embeddor.DefaultEmbeddor.shutdownComponents(DefaultEmbeddor.java:598)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.components.embeddor.DefaultEmbeddor.dispose(DefaultEmbeddor.java:342)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.dispose(ContainerUtil.java:306)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.framework.container.ContainerUtil.shutdown(ContainerUtil.java:67)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at org.apache.avalon.phoenix.frontends.CLIMain.shutdown(CLIMain.java:326)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2017/05/12 18:41:25 | 	at java.lang.reflect.Method.invoke(Method.java:606)
